exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12720250,-0.000108146555389711,0.000458698323949627,0.813612414690283
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs7259385,-0.000283401319108564,0.000473766092249788,0.549714317354095
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs2163857,-0.000309449270100429,0.000447080865281391,0.488839975642671
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs114170067,-0.000319784128529395,0.000447302720833739,0.474660595283077
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs281416,-0.000326826258630469,0.000450524509118625,0.468185192245146
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs281417,-0.000329026401413068,0.000452413780279262,0.467061341815401
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs281434,-0.000342182967566387,0.000462922864693761,0.459798170021222
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs5030348,-0.000347905880392628,0.000445690595182353,0.435038053427989
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs117679371,-0.000350476878636048,0.00045167886040264,0.437782865947694
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs11878588,-0.000352579912559902,0.000450719167557866,0.434061350637054
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs280498,-0.000354234652235221,0.000458831670659569,0.440092996744445
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12985734,-0.000358443954494723,0.000448056263438231,0.423712163016193
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs59451338,-0.000362871709568542,0.000452791900092076,0.422894643641088
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs11881260,-0.00036626285410099,0.00045014553718729,0.415843018667704
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs9105,-0.000373328940267055,0.000451684065998682,0.4085053788282
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12462167,-0.000373944498551043,0.000452376571569393,0.408451253351172
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs77587461,-0.000378653230195202,0.00045576694660726,0.406084080107937
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs6511402,-0.000381857772871408,0.000453704629008629,0.39998725994529
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs117177141,-0.000382559231474481,0.00045562186424792,0.401109169786202
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs4804528,-0.000383955717030086,0.00045499184342597,0.398739904245625
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs8111359,-0.000386095685018888,0.000456883863175104,0.398075619990798
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs8099957,-0.000386423873013083,0.000455142967941921,0.395872131375156
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs74178201,-0.000386752130477031,0.000454353606905677,0.394650512495498
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs7251693,-0.000388929433094893,0.000455576331201049,0.393266466426764
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs11666992,-0.00039188093748316,0.00045498479859438,0.389069773363104
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs75375271,-0.000394051617227249,0.000456299416267976,0.387817971585139
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs6511701,-0.000394253310654981,0.000466877948621101,0.398420113634174
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs1529711,-0.000395538705632576,0.00045495146479515,0.384623693410604
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs4371271,-0.00040084942595545,0.000455446233047345,0.378791823141925
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs2278442,-0.00040178511941541,0.000456139746431551,0.378405630640205
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs74827019,-0.000402160009954814,0.000455299547749753,0.377081417666427
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs34725611,-0.000403023676292974,0.000493323373303772,0.413953357275935
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs10409578,-0.000406199844656933,0.000454778094690159,0.371759437404531
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12975591,-0.00041194072261049,0.000457304504367564,0.367693708108913
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs4804512,-0.000413070115504806,0.00045447022605307,0.363400443073193
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs59125425,-0.000413897315443259,0.000456852580502798,0.364948738751292
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs3177696,-0.00041521809192753,0.000454872943680537,0.361336094358625
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs149993211,-0.000424021876900807,0.000452483824332894,0.348707934057398
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs34197572,-0.000426340479209181,0.000454925604694934,0.348673549138481
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs62131898,-0.000427131594508551,0.000453358558044873,0.346116041646033
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs7256518,-0.000447459245084522,0.000450658751873153,0.320758505563355
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs55898302,-0.000450560656247984,0.000451770296279207,0.318608022699861
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs182668024,-0.00045190500483657,0.000445613833709711,0.310526455319532
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs378395,-0.000452233823126085,0.000455449087044572,0.320738973971801
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12460981,-0.000453574048426668,0.00045296184169923,0.316656872240159
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs28493980,-0.000454239296407759,0.000445278138765776,0.307669250653385
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs5030390,-0.000462424774188214,0.000450552659851787,0.304726582941261
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs78415953,-0.000464980423848261,0.000446443286180823,0.297633431793925
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs142770866,-0.000471438135738052,0.000449860781495726,0.294654956144169
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs12608948,-0.000474030766114075,0.000445994853871656,0.287844757865716
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs11085734,-0.000496148499866315,0.000464685429740469,0.285652103914141
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs73510898,-0.000501601323300225,0.000455126416424129,0.270411991439387
TYK2,stroke,uqup3e,ukb-b-8714,461880,rs61451658,-0.000602533074563996,0.000457920508307986,0.188240248376229
TYK2,stroke,uqup3e,ukb-b-8714,461880,30% top SNP,0.000707101055559553,0.000492758559841529,0.151291422040874
TYK2,stroke,uqup3e,ukb-b-8714,461880,All,-0.00039711190899466,0.000449489859341332,0.376981059271597
