exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs10409578,-0.000153283659046987,0.000457054112007367,0.737343649591982
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs11085734,-0.000105431275965228,0.000478641606782738,0.825659436108557
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs12460981,-0.000160693300251669,0.000464990235930215,0.729655186905469
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs12608948,-0.000298287155796359,0.00041514775004895,0.472443855361275
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs12975591,-0.000208464487087391,0.000465712375095577,0.654423880443133
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs12985734,-0.000180913115170798,0.000462532041300906,0.695696419966041
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs1529711,-0.000177432984235695,0.000462234277432415,0.701082640441173
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs2163857,-0.000140364723547033,0.000460281342426074,0.760401043173626
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs2278442,-0.000143249814099751,0.000459190378415606,0.75506962572851
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs280498,-6.30804600012735e-05,0.000454685274879199,0.889660083731638
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs281416,-0.000260439032766565,0.000456502947780777,0.568332530726132
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs281417,-0.000226981845054677,0.000464589435544193,0.625150142935577
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs281434,-0.000264068215701437,0.00047254455784194,0.57628332087359
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs3177696,-0.000203725608353098,0.00046292038505418,0.659873526238576
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs34725611,-0.000132518081411459,0.000519197723540464,0.798540632406427
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs378395,-0.000128183323980201,0.000463272113165112,0.782017217848307
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs4371271,-8.6758159345855e-05,0.000422011476545209,0.837117076334097
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs4804512,-0.000188878885431382,0.000463279986407262,0.683494515998081
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs4804528,-9.11200899555511e-05,0.000426283623603189,0.83073842232455
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs5030348,-0.000209043865781215,0.000460607249943215,0.649941066615915
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs55898302,-0.000228607728122643,0.000461396544558226,0.620269032514892
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs59125425,-0.000117481874691804,0.000456840722844285,0.797054054040483
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs59451338,-0.000254223528844105,0.000448778860106963,0.5710686150689
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs61451658,-0.000257062146801464,0.000478861505077944,0.59139236834649
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs62131898,-0.000199882703608318,0.000463309996074971,0.66616064854507
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs6511402,-0.000210819076409034,0.000458983596502931,0.646006372962847
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs6511701,-0.00019980209822275,0.000479741949317211,0.677060063304109
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs7259385,-0.000305985296836277,0.000490194828740935,0.532488631806506
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs74178201,-0.000236892369636973,0.000446643832392973,0.595846295607912
TYK2,CAD,uqup3e,ukb-b-15748,463010,rs8111359,-0.000180830324409706,0.000465676084774655,0.697780847766786
TYK2,CAD,uqup3e,ukb-b-15748,463010,All,-0.0001870559567673,0.000453224365833793,0.679809835499594
